date,likes,CA,TX,NY,CA_new,TX_new,NY_new
8/12/20,5211246,595097,531825,427419,9019,6927,706
8/13/20,5265307,603212,538805,428155,8115,6980,736
8/14/20,5324784,613243,547670,428879,10031,8865,724
8/15/20,5375527,621981,555343,429617,8738,7673,738
8/16/20,5417664,628508,563464,430226,6527,8121,609
8/17/20,5455187,634991,569058,430636,6483,5594,410
8/18/20,5498420,640499,577220,431298,5508,8162,662
8/19/20,5541433,646742,582623,431924,6243,5403,626
8/20/20,5587462,653401,587900,432523,6659,5277,599
8/21/20,5636491,659991,593405,433230,6590,5505,707
8/22/20,5681517,665325,599156,433881,5334,5751,651
8/23/20,5713850,669944,602144,434462,4619,2988,581
8/24/20,5754254,676236,607621,434866,6292,5477,404
8/25/20,5793437,682320,613707,435495,6084,6086,629
8/26/20,5838756,687612,619836,436063,5292,6129,568
8/27/20,5884368,692964,623647,436852,5352,3811,789
8/28/20,5930932,698391,628492,437487,5427,4845,635
8/29/20,5975541,702500,633834,438122,4109,5342,635
8/30/20,6008970,706589,636547,438831,4089,2713,709
8/31/20,6045457,712543,640317,439480,5954,3770,649
9/1/20,6089506,716630,645534,440237,4087,5217,757
9/2/20,6121950,722037,649844,440947,5407,4310,710
9/3/20,6168347,727403,653321,441835,5366,3477,888
9/4/20,6220448,732693,658789,442698,5290,5468,863
9/5/20,6262701,737074,663246,443497,4381,4457,799
9/6/20,6292696,740230,665338,444226,3156,2092,729
9/7/20,6317861,742685,666209,444751,2455,871,525
9/8/20,6346807,746114,670427,445308,3429,4218,557
9/9/20,6380139,749197,675149,445881,3083,4722,573
9/10/20,6418200,753019,677888,446637,3822,2739,756
9/11/20,6465767,757126,683295,447498,4107,5407,861
9/12/20,6504871,760582,685921,448347,3456,2626,849
9/13/20,6538214,763390,689941,449072,2808,4020,725
9/14/20,6575101,767063,694547,449658,3673,4606,586
9/15/20,6614318,769918,701509,450425,2855,6962,767
9/16/20,6653586,773319,706034,451078,3401,4525,653
9/17/20,6698896,776945,710423,451971,3626,4389,893
9/18/20,6747783,781437,713652,452764,4492,3229,793
9/19/20,6789594,785077,716914,453747,3640,3262,983
9/20/20,6825950,788078,722460,454612,3001,5546,865
9/21/20,6880902,792220,744736,455187,4142,22276,575
9/22/20,6918293,795080,749069,455938,2860,4333,751
9/23/20,6959842,798351,753551,456604,3271,4482,666
9/24/20,7005046,801674,758379,457557,3323,4828,953
9/25/20,7059627,805736,761644,458466,4062,3265,909
9/26/20,7102322,809215,764642,459472,3479,2998,1006
9/27/20,7139620,811699,770539,460340,2484,5897,868
9/28/20,7176980,814797,773679,461176,3098,3140,836
9/29/20,7220677,817940,780543,462364,3143,6864,1188
9/30/20,7262735,821126,784027,463369,3186,3484,1005
10/1/20,7309153,824307,788066,464752,3181,4039,1383
10/2/20,7362733,828365,793962,466353,4058,5896,1601
10/3/20,7410512,831495,799411,468081,3130,5449,1728
10/4/20,7445575,834636,802440,469307,3141,3029,1226
10/5/20,7507988,837722,806535,470244,3086,4095,937
10/6/20,7550850,840324,811191,471638,2602,4656,1394
10/7/20,7603867,843734,817166,472994,3410,5975,1356
10/8/20,7660249,847385,821732,474829,3651,4566,1835
10/9/20,7719211,851229,826241,476422,3844,4509,1593
10/10/20,7770859,854303,829758,477870,3074,3517,1448
10/11/20,7815642,857077,832750,479013,2774,2992,1143
10/12/20,7863658,859960,836807,480045,2883,4057,1032
10/13/20,7918051,863614,842316,481436,3654,5509,1391
10/14/20,7977903,867093,848168,482671,3479,5852,1235
10/15/20,8043257,870380,853977,484135,3287,5809,1464
10/16/20,8113721,874102,859567,485838,3722,5590,1703
10/17/20,8166482,876258,863993,487626,2156,4426,1788
10/18/20,8214364,878395,869376,489016,2137,5383,1390
10/19/20,8279804,882666,874080,490015,4271,4704,999
10/20/20,8340398,887094,879949,491216,4428,5869,1201
10/21/20,8404635,890154,886421,493245,3060,6472,2029
10/22/20,8479765,896427,891714,494874,6273,5293,1629
10/23/20,8565062,902328,899390,496510,5901,7676,1636
10/24/20,8643641,906645,906657,498568,4317,7267,2058
10/25/20,8703356,909345,910592,500201,2700,3935,1633
10/26/20,8777994,913707,917240,501393,4362,6648,1192
10/27/20,8852381,918635,924475,503387,4928,7235,1994
