date,cases,deaths
2/8/2021,3431179,44440
2/9/2021,3441692,44973
2/10/2021,3450284,45436
2/11/2021,3460901,45976
2/12/2021,3470426,46435
2/13/2021,3479586,46865
2/14/2021,3485533,47055
2/15/2021,3490542,47115
2/16/2021,3499336,47446
2/17/2021,3505610,47902
2/18/2021,3513458,48334
2/19/2021,3521349,48794
2/20/2021,3527411,49111
2/21/2021,3532057,49340
2/22/2021,3537033,49531
2/23/2021,3543293,49869
2/24/2021,3549145,50953
2/25/2021,3554779,51385
2/26/2021,3561681,51794
2/27/2021,3566089,51979
2/28/2021,3569578,52213
3/1/2021,3573775,52487
3/2/2021,3578092,52774
3/3/2021,3582495,53066
3/4/2021,3587750,53457
3/5/2021,3592812,53838
3/6/2021,3597075,54124
3/7/2021,3599828,54217
3/8/2021,3604005,54377
3/9/2021,3608146,54620
3/10/2021,3611614,54877
3/11/2021,3615174,55132
3/12/2021,3617479,55336
3/13/2021,3621217,56373
3/14/2021,3623465,56523
3/15/2021,3626427,56630
3/16/2021,3628489,56743
3/17/2021,3631857,56976
3/18/2021,3635429,57213
3/19/2021,3638641,57417
3/20/2021,3640830,57495
3/21/2021,3642778,57586
3/22/2021,3645684,57770
3/23/2021,3648181,57936
3/24/2021,3650958,58187
3/25/2021,3653449,58413
3/26/2021,3656822,58630
3/27/2021,3658932,58801
3/28/2021,3661102,58927
3/29/2021,3664161,59015
3/30/2021,3666541,59116
3/31/2021,3669048,59260
4/1/2021,3671690,59396
4/2/2021,3675457,59601
4/3/2021,3678343,59675
4/4/2021,3679968,59726
4/5/2021,3683077,59788
4/6/2021,3685338,59874
4/7/2021,3687758,59976
4/8/2021,3690309,60115
4/9/2021,3693923,60272
4/10/2021,3696900,60361
4/11/2021,3700795,60446
4/12/2021,3704295,60484
4/13/2021,3706904,60535
4/14/2021,3709392,60710
4/15/2021,3711717,60797
4/16/2021,3714542,60911
4/17/2021,3716759,60977
4/18/2021,3718367,61022
4/19/2021,3720922,61034
4/20/2021,3723405,61111
4/21/2021,3725355,61199
4/22/2021,3727911,61290
4/23/2021,3730175,61390
4/24/2021,3730549,61428
4/25/2021,3731900,61463
4/26/2021,3734630,61485
4/27/2021,3736753,61504
4/28/2021,3738507,61571
4/29/2021,3739891,61650
4/30/2021,3742224,61756
5/1/2021,3743780,61853
5/2/2021,3745139,61924
5/3/2021,3747389,61961
5/4/2021,3749576,62016
5/5/2021,3751248,62065
