date,cases
2021-01-23,25050385
2021-01-24,25180061
2021-01-25,25336637
2021-01-26,25487275
2021-01-27,25643045
2021-01-28,25809220
2021-01-29,25973835
2021-01-30,26107635
2021-01-31,26221430
2021-02-01,26363284
2021-02-02,26478540
2021-02-03,26598723
2021-02-04,26724359
2021-02-05,26853860
2021-02-06,26958807
2021-02-07,27046088
2021-02-08,27139070
2021-02-09,27235460
2021-02-10,27330435
2021-02-11,27436075
2021-02-12,27535702
2021-02-13,27620354
2021-02-14,27684134
2021-02-15,27739406
2021-02-16,27803946
2021-02-17,27874107
2021-02-18,27945898
2021-02-19,28023910
2021-02-20,28093630
2021-02-21,28148810
2021-02-22,28208276
2021-02-23,28280189
2021-02-24,28354383
2021-02-25,28432264
2021-02-26,28510582
2021-02-27,28573256
2021-02-28,28624161
2021-03-01,28680857
2021-03-02,28738501
2021-03-03,28805113
2021-03-04,28872395
2021-03-05,28938090
2021-03-06,28994675
2021-03-07,29034739
2021-03-08,29129252
2021-03-09,29185151
2021-03-10,29243346
2021-03-11,29305733
2021-03-12,29369899
2021-03-13,29419456
2021-03-14,29457445
2021-03-15,29514609
2021-03-16,29569140
2021-03-17,29628071
2021-03-18,29688541
2021-03-19,29749164
2021-03-20,29803589
2021-03-21,29837782
2021-03-22,29892498
2021-03-23,29949244
2021-03-24,30029147
2021-03-25,30098263
2021-03-26,30172762
2021-03-27,30233462
2021-03-28,30277977
2021-03-29,30348716
2021-03-30,30410950
2021-03-31,30478886
2021-04-01,30556079
2021-04-02,30624668
2021-04-03,30688804
2021-04-04,30725627
2021-04-05,30802221
2021-04-06,30864193
2021-04-07,30937283
2021-04-08,31017741
2021-04-09,31099323
2021-04-10,31164081
2021-04-11,31212058
2021-04-12,31283990
2021-04-13,31361311
2021-04-14,31437061
2021-04-15,31510755
2021-04-16,31589109
2021-04-17,31642983
2021-04-18,31684382
2021-04-19,31754642
2021-04-20,31815666
2021-04-21,31878161
2021-04-22,31944402
2021-04-23,32008186
2021-04-24,32058654
2021-04-25,32092245
2021-04-26,32139580
2021-04-27,32191457
2021-04-28,32246275
2021-04-29,32303857
2021-04-30,32362374
2021-05-01,32407133
2021-05-02,32436765
2021-05-03,32486709
2021-05-04,32527664
2021-05-05,32572383
2021-05-06,32620077
2021-05-07,32667570
2021-05-08,32701236
2021-05-09,32723564
2021-05-10,32760121
2021-05-11,32794162
2021-05-12,32829645
2021-05-13,32868084
2021-05-14,32909065
2021-05-15,32938115
2021-05-16,32954825
2021-05-17,32984032
2021-05-18,33011895
2021-05-19,33040689
2021-05-20,33070307
2021-05-21,33099318
2021-05-22,33117634
2021-05-23,33131784
2021-05-24,33157412
2021-05-25,33180250
2021-05-26,33203636
2021-05-27,33231383
2021-05-28,33253407
2021-05-29,33264967
2021-05-30,33272409
2021-05-31,33277912
2021-06-01,33300626
2021-06-02,33317484
2021-06-03,33336953
2021-06-04,33312953
2021-06-05,33323401
2021-06-06,33329554
2021-06-07,33349005
2021-06-08,33363189
2021-06-09,33383852
2021-06-10,33399648
2021-06-11,33416473
2021-06-12,33424751
2021-06-13,33431538
2021-06-14,33446657
2021-06-15,33458529
2021-06-16,33472935
2021-06-17,33485122
2021-06-18,33497837
2021-06-19,33505416
2021-06-20,33509479
2021-06-21,33525323
2021-06-22,33538085
2021-06-23,33552112
2021-06-24,33566803
2021-06-25,33581766
2021-06-26,33588555
2021-06-27,33592642
2021-06-28,33608190
2021-06-29,33623919
2021-06-30,33639892
2021-07-01,33656397
2021-07-02,33677066
2021-07-03,33681756
2021-07-04,33685247
2021-07-05,33690454
2021-07-06,33714142
2021-07-07,33746559
2021-07-08,33769662
2021-07-09,33804834
2021-07-10,33813725
2021-07-11,33820008
2021-07-12,33852802
2021-07-13,33894515
2021-07-14,33932356
2021-07-15,33967961
2021-07-16,34019851
2021-07-17,34032851
2021-07-18,34042378
2021-07-19,34098206
2021-07-20,34160690
2021-07-21,34222629
2021-07-22,34286340
2021-07-23,34368845
2021-07-24,34391317
2021-07-25,34405810
